OBJECTID,DISTRICT,COUNTY,PWSID,SYSNAME,SYS_STATUS,FAC_ID,WTP_ID,WTPNAME,SAMP_PT_ID,SAMP_TYPE,SAMP_LAB_ID,SAMP_DATE,ANALYTE_CD,ANALYTE,LESSTHANDETECT,SAMPLE_RESULT,UNIT,ACTIONLEVEL
12962608,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,GWR001      ,RT,PFL-35557765001,2020/06/18,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962609,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,GWR001      ,RT,PFL-35557765001,2020/06/18,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962610,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,GWR001      ,RT,PFL-35557765001,2020/06/18,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962611,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,GWR001      ,RT,PFL-35557765001,2020/06/18,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962612,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,GWR001      ,RT,PFL-35557765001,2020/06/18,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962613,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,GWR001      ,RT,PFL-35557765001,2020/06/18,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962614,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,EP001       ,RT,PFL-35557765002,2020/06/18,2801,PERFLUOROBUTANESULFONIC ACID (PFBS),Y,< 5,,"2,100 ppt"
12962615,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,EP001       ,RT,PFL-35557765002,2020/06/18,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
12962616,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,EP001       ,RT,PFL-35557765002,2020/06/18,2806,PERFLUOROCTANOIC ACID (PFOA),Y,< 5,,70 ppt
12962617,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,EP001       ,RT,PFL-35557765002,2020/06/18,2805,PERFLUOROCTANE SULFONIC ACID (PFOS),Y,< 5,,70 ppt
12962618,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,EP001       ,RT,PFL-35557765002,2020/06/18,2804,PERFLUORONONANOIC ACID (PFNA),Y,< 5,,21 ppt
12962619,SEDO,ADAMS,OH0100012   ,ADAMS COUNTY REGIONAL WD PWS,A,152614,1376,ADAMS COUNTY REGIONAL WD,EP001       ,RT,PFL-35557765002,2020/06/18,2803,PERFLUOROHEXANE SULFONIC ACID (PFHXS),Y,< 5,,140 ppt
12962620,NWDO,ASHLAND,OH0300112   ,ASHLAND CITY,A,352711,1467,ASHLAND CITY,EP001       ,RT,PFL-35562791002,2020/07/13,GENX,HEXAFLUOROPROPYLENE OXIDE DIMER ACID,Y,< 25,,21 ppt
